0,6
1,8
2,8
3,7
4,6
5,5
6,6
7,8
8,6
9,6
10,5
11,6
12,11
13,3
14,6
15,7
16,10
17,5
18,13
19,6
20,16
21,9
22,15
23,6
24,2
25,3
26,14
27,10
28,6
29,10
30,6
31,15
32,4
33,6
34,4
35,11
36,12
37,9
38,11
39,9
40,10
41,7
42,1
43,8
44,6
45,4
46,9
47,7
48,5
49,8
50,10
51,11
52,7
53,9
54,7
55,5
56,10
57,6
58,6
59,12
60,9
61,11
62,12
63,9
64,5
65,1
66,4
67,5
68,3
69,4
70,2
71,7
72,4
73,8
74,9
75,9
76,5
77,1
78,4
79,8
80,10
81,11
82,11
83,8
84,2
85,5
86,3
87,4
88,13
89,7
90,6
91,8
92,12
93,14
94,3
95,10
96,5
97,4
98,2
99,5
100,6
101,5
102,12
103,7
104,14
105,7
106,1
107,11
108,15
109,6
110,4
111,5
112,10
113,6
114,6
115,9
116,12
117,11
118,13
119,13
120,9
121,6
122,10
123,4
124,14
125,7
126,6
127,8
128,6
129,9
130,3
131,2
132,8
133,4
134,2
135,6
136,6
137,8
138,13
139,3
140,14
141,5
142,12
143,4
144,6
145,7
146,4
147,3
148,3
149,8
150,14
151,9
152,7
153,5
154,11
155,9
156,9
157,7
158,5
159,14
160,10
161,6
162,4
163,12
164,15
165,12
166,11
167,6
168,5
169,7
170,8
171,6
172,5
173,4
174,1
175,8
176,5
177,9
178,9
179,15
180,4
181,3
182,2
183,10
184,9
185,14
186,5
187,7
188,10
189,4
190,5
191,9
192,5
193,8
194,11
195,10
196,6
197,6
198,7
199,8
200,12
201,7
202,4
203,10
204,10
205,7
206,9
207,16
208,7
209,4
210,4
211,10
212,4
213,15
214,9
215,8
216,4
217,1
218,10
219,13
220,10
221,5
222,15
223,5
224,6
225,5
226,8
227,9
228,4
229,7
230,4
231,7
232,9
233,7
234,4
235,14
236,5
237,6
238,4
239,12
240,8
241,5
242,7
243,9
244,4
245,14
246,5
247,4
248,6
249,11
250,15
251,10
252,7
253,13
254,5
255,5
256,3
257,10
258,8
259,3
260,4
261,7
262,3
263,15
264,2
265,14
266,2
267,15
268,9
269,7
270,3
271,14
272,7
273,16
274,6
275,2
276,8
277,13
278,15
279,12
280,5
281,6
282,2
283,5
284,6
285,4
286,6
287,6
288,4
289,6
290,13
291,10
292,14
293,8
294,8
295,2
296,3
297,12
298,2
299,1
300,5
301,6
302,4
303,11
304,10
305,5
306,5
307,9
308,15
309,10
310,2
311,4
312,10
313,9
314,3
315,5
316,4
317,11
318,5
319,14
320,11
321,16
322,8
323,12
324,6
325,10
326,10
327,5
328,9
329,11
330,10
331,4
332,6
333,4
334,12
335,8
336,12
337,4
338,14
339,5
340,6
341,11
342,11
343,9
344,5
345,4
346,4
347,5
348,1
349,5
350,14
351,5
352,5
353,8
354,11
355,6
356,15
357,5
358,12
359,6
360,1
361,11
362,14
363,2
364,7
365,5
366,5
367,8
368,9
369,6
370,10
371,9
372,10
373,9
374,11
375,9
376,8
377,7
378,10
379,7
380,4
381,8
382,8
383,9
384,5
385,5
386,4
387,13
388,6
389,1
390,8
391,12
392,6
393,7
394,1
395,11
396,5
397,15
398,12
399,4
400,4
401,10
402,4
403,14
404,1
405,17
406,6
407,5
408,11
409,8
410,15
411,5
412,6
413,13
414,16
415,6
416,4
417,3
418,14
419,14
420,10
421,1
422,6
423,4
424,4
425,5
426,10
427,16
428,15
429,5
430,3
431,9
432,6
433,10
434,5
435,5
436,6
437,5
438,4
439,6
440,4
441,9
442,8
443,6
444,14
445,3
446,11
447,6
448,6
449,8
450,4
451,9
452,1
453,12
454,2
455,11
456,9
457,4
458,4
459,4
460,6
461,10
462,7
463,4
464,4
465,3
466,13
467,9
468,5
469,6
470,4
471,11
472,8
473,5
474,10
475,9
476,8
477,15
478,8
479,6
480,7
481,5
482,4
483,8
484,6
485,13
486,6
487,4
488,12
489,12
490,3
491,12
492,10
493,13
494,9
495,6
496,15
497,10
498,10
499,10
500,4
501,9
502,10
503,6
504,1
505,9
506,10
507,13
508,4
509,8
510,8
511,11
512,3
513,16
514,9
515,9
516,5
517,5
518,4
519,12
520,7
521,2
522,3
523,3
524,7
525,5
526,9
527,1
528,4
529,1
530,13
531,10
532,7
533,6
534,7
535,4
536,6
537,6
538,1
539,11
540,11
541,6
542,6
543,8
544,6
545,5
